SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/40/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 136 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.194e+00     4.909e-02  
T     =       5.108s      134.116s  

RSS   =    3.455e-03
SD    =    1.073e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     3.018e-02
    2       2.000s     8.737e-01     8.553e-01    -1.837e-02
    3       3.000s     7.380e-01     7.115e-01    -2.648e-02
    4       4.000s     6.122e-01     5.932e-01    -1.902e-02
    5       5.000s     4.976e-01     4.958e-01    -1.759e-03
    6       6.000s     4.093e-01     4.157e-01     6.409e-03
    7       7.000s     3.373e-01     3.498e-01     1.253e-02
    8       8.000s     2.814e-01     2.956e-01     1.418e-02
    9       9.000s     2.365e-01     2.509e-01     1.441e-02
   10      10.000s     2.038e-01     2.141e-01     1.028e-02
   11      11.000s     1.770e-01     1.838e-01     6.827e-03
   12      12.000s     1.556e-01     1.588e-01     3.192e-03
   13      13.000s     1.385e-01     1.382e-01    -2.496e-04
   14      14.000s     1.231e-01     1.213e-01    -1.803e-03
   15      15.000s     1.122e-01     1.072e-01    -4.981e-03
   16      16.000s     1.027e-01     9.564e-02    -7.074e-03
   17      17.000s     9.292e-02     8.606e-02    -6.860e-03
   18      18.000s     8.301e-02     7.813e-02    -4.880e-03
   19      19.000s     7.761e-02     7.155e-02    -6.063e-03
   20      20.000s     7.327e-02     6.609e-02    -7.177e-03
   21      21.000s     6.680e-02     6.154e-02    -5.253e-03
   22      22.000s     6.151e-02     5.775e-02    -3.759e-03
   23      23.000s     5.787e-02     5.458e-02    -3.290e-03
   24      24.000s     5.152e-02     5.192e-02     4.073e-04
   25      25.000s     4.772e-02     4.969e-02     1.962e-03
   26      26.000s     4.819e-02     4.779e-02    -4.012e-04
   27      27.000s     4.355e-02     4.619e-02     2.636e-03
   28      28.000s     4.082e-02     4.481e-02     3.996e-03
   29      29.000s     3.906e-02     4.363e-02     4.574e-03
   30      30.000s     3.680e-02     4.261e-02     5.813e-03

============================================================

