SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/43/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 388 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    6.368e-01     4.732e-01  
T     =       7.281s       33.783s  

RSS   =    2.134e-03
SD    =    8.433e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00     1.441e-02
    2       2.000s     9.305e-01     9.298e-01    -7.268e-04
    3       3.000s     8.639e-01     8.547e-01    -9.177e-03
    4       4.000s     7.980e-01     7.879e-01    -1.010e-02
    5       5.000s     7.380e-01     7.285e-01    -9.456e-03
    6       6.000s     6.831e-01     6.755e-01    -7.666e-03
    7       7.000s     6.326e-01     6.281e-01    -4.557e-03
    8       8.000s     5.835e-01     5.856e-01     2.117e-03
    9       9.000s     5.406e-01     5.475e-01     6.908e-03
   10      10.000s     5.065e-01     5.132e-01     6.698e-03
   11      11.000s     4.697e-01     4.822e-01     1.250e-02
   12      12.000s     4.443e-01     4.542e-01     9.895e-03
   13      13.000s     4.204e-01     4.288e-01     8.374e-03
   14      14.000s     3.955e-01     4.057e-01     1.026e-02
   15      15.000s     3.779e-01     3.847e-01     6.770e-03
   16      16.000s     3.627e-01     3.654e-01     2.707e-03
   17      17.000s     3.513e-01     3.477e-01    -3.582e-03
   18      18.000s     3.362e-01     3.315e-01    -4.737e-03
   19      19.000s     3.248e-01     3.165e-01    -8.301e-03
   20      20.000s     3.100e-01     3.026e-01    -7.412e-03
   21      21.000s     3.036e-01     2.897e-01    -1.388e-02
   22      22.000s     2.878e-01     2.777e-01    -1.007e-02
   23      23.000s     2.752e-01     2.666e-01    -8.588e-03
   24      24.000s     2.642e-01     2.561e-01    -8.085e-03
   25      25.000s     2.529e-01     2.463e-01    -6.648e-03
   26      26.000s     2.382e-01     2.371e-01    -1.107e-03
   27      27.000s     2.258e-01     2.284e-01     2.624e-03
   28      28.000s     2.130e-01     2.202e-01     7.218e-03
   29      29.000s     2.010e-01     2.124e-01     1.138e-02
   30      30.000s     1.922e-01     2.050e-01     1.281e-02

============================================================

