SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/43/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.058e+00     5.517e-02  
T     =      10.233s    60910265250128.102s  

RSS   =    8.572e-04
SD    =    5.345e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.459e-02
    2       2.000s     9.259e-01     9.253e-01    -6.740e-04
    3       3.000s     8.502e-01     8.443e-01    -5.958e-03
    4       4.000s     7.833e-01     7.708e-01    -1.245e-02
    5       5.000s     7.114e-01     7.042e-01    -7.253e-03
    6       6.000s     6.492e-01     6.438e-01    -5.394e-03
    7       7.000s     5.931e-01     5.890e-01    -4.174e-03
    8       8.000s     5.381e-01     5.393e-01     1.174e-03
    9       9.000s     4.902e-01     4.942e-01     4.028e-03
   10      10.000s     4.452e-01     4.533e-01     8.086e-03
   11      11.000s     4.119e-01     4.163e-01     4.380e-03
   12      12.000s     3.772e-01     3.826e-01     5.445e-03
   13      13.000s     3.460e-01     3.522e-01     6.160e-03
   14      14.000s     3.239e-01     3.245e-01     6.117e-04
   15      15.000s     2.941e-01     2.994e-01     5.362e-03
   16      16.000s     2.756e-01     2.767e-01     1.137e-03
   17      17.000s     2.540e-01     2.561e-01     2.114e-03
   18      18.000s     2.393e-01     2.374e-01    -1.893e-03
   19      19.000s     2.206e-01     2.204e-01    -2.099e-04
   20      20.000s     2.067e-01     2.050e-01    -1.631e-03
   21      21.000s     1.954e-01     1.911e-01    -4.288e-03
   22      22.000s     1.840e-01     1.784e-01    -5.614e-03
   23      23.000s     1.700e-01     1.669e-01    -3.064e-03
   24      24.000s     1.605e-01     1.565e-01    -4.010e-03
   25      25.000s     1.504e-01     1.471e-01    -3.300e-03
   26      26.000s     1.388e-01     1.385e-01    -2.430e-04
   27      27.000s     1.339e-01     1.308e-01    -3.155e-03
   28      28.000s     1.211e-01     1.237e-01     2.661e-03
   29      29.000s     1.160e-01     1.174e-01     1.399e-03
   30      30.000s     1.054e-01     1.116e-01     6.160e-03

============================================================

