SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/45/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 244 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.206e+00     1.754e-01  
T     =       2.727s       29.364s  

RSS   =    1.755e-03
SD    =    7.649e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.005e+00     4.971e-03
    2       2.000s     7.503e-01     7.428e-01    -7.513e-03
    3       3.000s     5.593e-01     5.596e-01     2.634e-04
    4       4.000s     4.320e-01     4.311e-01    -9.471e-04
    5       5.000s     3.434e-01     3.406e-01    -2.777e-03
    6       6.000s     2.802e-01     2.765e-01    -3.684e-03
    7       7.000s     2.273e-01     2.307e-01     3.399e-03
    8       8.000s     1.894e-01     1.977e-01     8.319e-03
    9       9.000s     1.633e-01     1.735e-01     1.021e-02
   10      10.000s     1.481e-01     1.556e-01     7.502e-03
   11      11.000s     1.414e-01     1.419e-01     4.949e-04
   12      12.000s     1.392e-01     1.313e-01    -7.863e-03
   13      13.000s     1.290e-01     1.229e-01    -6.071e-03
   14      14.000s     1.141e-01     1.160e-01     1.881e-03
   15      15.000s     1.023e-01     1.101e-01     7.799e-03
   16      16.000s     9.818e-02     1.051e-01     6.927e-03
   17      17.000s     1.031e-01     1.007e-01    -2.405e-03
   18      18.000s     1.071e-01     9.664e-02    -1.050e-02
   19      19.000s     1.124e-01     9.296e-02    -1.945e-02
   20      20.000s     1.027e-01     8.954e-02    -1.312e-02
   21      21.000s     8.791e-02     8.632e-02    -1.592e-03
   22      22.000s     7.776e-02     8.328e-02     5.528e-03
   23      23.000s     7.580e-02     8.039e-02     4.595e-03
   24      24.000s     7.749e-02     7.763e-02     1.404e-04
   25      25.000s     8.094e-02     7.498e-02    -5.962e-03
   26      26.000s     8.214e-02     7.243e-02    -9.704e-03
   27      27.000s     7.068e-02     6.998e-02    -6.927e-04
   28      28.000s     5.906e-02     6.763e-02     8.565e-03
   29      29.000s     5.314e-02     6.535e-02     1.221e-02
   30      30.000s     5.193e-02     6.315e-02     1.122e-02

============================================================

