SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/5/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.081e+00     5.657e-02  
T     =       8.788s    273292476324166.406s  

RSS   =    1.206e-03
SD    =    6.341e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.021e+00     2.097e-02
    2       2.000s     9.191e-01     9.172e-01    -1.841e-03
    3       3.000s     8.367e-01     8.247e-01    -1.200e-02
    4       4.000s     7.540e-01     7.421e-01    -1.191e-02
    5       5.000s     6.804e-01     6.683e-01    -1.203e-02
    6       6.000s     6.086e-01     6.025e-01    -6.117e-03
    7       7.000s     5.462e-01     5.438e-01    -2.350e-03
    8       8.000s     4.912e-01     4.914e-01     2.268e-04
    9       9.000s     4.392e-01     4.446e-01     5.425e-03
   10      10.000s     3.978e-01     4.029e-01     5.094e-03
   11      11.000s     3.586e-01     3.656e-01     7.073e-03
   12      12.000s     3.261e-01     3.324e-01     6.278e-03
   13      13.000s     2.965e-01     3.027e-01     6.190e-03
   14      14.000s     2.699e-01     2.763e-01     6.405e-03
   15      15.000s     2.497e-01     2.526e-01     2.966e-03
   16      16.000s     2.290e-01     2.315e-01     2.503e-03
   17      17.000s     2.122e-01     2.127e-01     5.282e-04
   18      18.000s     1.959e-01     1.959e-01     3.558e-05
   19      19.000s     1.804e-01     1.809e-01     5.406e-04
   20      20.000s     1.693e-01     1.676e-01    -1.757e-03
   21      21.000s     1.581e-01     1.556e-01    -2.477e-03
   22      22.000s     1.471e-01     1.450e-01    -2.129e-03
   23      23.000s     1.380e-01     1.355e-01    -2.496e-03
   24      24.000s     1.309e-01     1.270e-01    -3.890e-03
   25      25.000s     1.208e-01     1.194e-01    -1.433e-03
   26      26.000s     1.150e-01     1.126e-01    -2.330e-03
   27      27.000s     1.077e-01     1.066e-01    -1.118e-03
   28      28.000s     1.021e-01     1.012e-01    -8.524e-04
   29      29.000s     9.775e-02     9.643e-02    -1.323e-03
   30      30.000s     9.032e-02     9.214e-02     1.820e-03

============================================================

