SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/50/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

45 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    9.496e-01     1.056e-01  
T     =      23.111s    2936104643417327.500s  

RSS   =    8.486e-04
SD    =    4.342e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.495e-02
    2       2.000s     9.692e-01     9.764e-01     7.270e-03
    3       3.000s     9.386e-01     9.396e-01     9.998e-04
    4       4.000s     9.048e-01     9.043e-01    -5.049e-04
    5       5.000s     8.741e-01     8.704e-01    -3.690e-03
    6       6.000s     8.441e-01     8.380e-01    -6.023e-03
    7       7.000s     8.140e-01     8.070e-01    -6.955e-03
    8       8.000s     7.841e-01     7.773e-01    -6.779e-03
    9       9.000s     7.563e-01     7.489e-01    -7.458e-03
   10      10.000s     7.270e-01     7.216e-01    -5.378e-03
   11      11.000s     7.006e-01     6.955e-01    -5.069e-03
   12      12.000s     6.746e-01     6.706e-01    -4.066e-03
   13      13.000s     6.505e-01     6.466e-01    -3.817e-03
   14      14.000s     6.255e-01     6.237e-01    -1.749e-03
   15      15.000s     6.031e-01     6.018e-01    -1.307e-03
   16      16.000s     5.815e-01     5.808e-01    -7.365e-04
   17      17.000s     5.597e-01     5.606e-01     9.654e-04
   18      18.000s     5.398e-01     5.414e-01     1.568e-03
   19      19.000s     5.211e-01     5.229e-01     1.805e-03
   20      20.000s     5.028e-01     5.053e-01     2.494e-03
   21      21.000s     4.847e-01     4.883e-01     3.618e-03
   22      22.000s     4.690e-01     4.721e-01     3.155e-03
   23      23.000s     4.525e-01     4.566e-01     4.097e-03
   24      24.000s     4.373e-01     4.417e-01     4.416e-03
   25      25.000s     4.223e-01     4.275e-01     5.188e-03
   26      26.000s     4.099e-01     4.139e-01     4.005e-03
   27      27.000s     3.959e-01     4.008e-01     4.873e-03
   28      28.000s     3.844e-01     3.883e-01     3.887e-03
   29      29.000s     3.734e-01     3.763e-01     2.947e-03
   30      30.000s     3.621e-01     3.649e-01     2.807e-03
   31      31.000s     3.505e-01     3.539e-01     3.391e-03
   32      32.000s     3.402e-01     3.434e-01     3.222e-03
   33      33.000s     3.317e-01     3.333e-01     1.621e-03
   34      34.000s     3.220e-01     3.237e-01     1.697e-03
   35      35.000s     3.145e-01     3.144e-01    -1.092e-04
   36      36.000s     3.056e-01     3.056e-01    -3.817e-05
   37      37.000s     2.973e-01     2.971e-01    -2.254e-04
   38      38.000s     2.913e-01     2.890e-01    -2.272e-03
   39      39.000s     2.832e-01     2.812e-01    -1.989e-03
   40      40.000s     2.771e-01     2.738e-01    -3.335e-03
   41      41.000s     2.697e-01     2.667e-01    -3.030e-03
   42      42.000s     2.634e-01     2.598e-01    -3.521e-03
   43      43.000s     2.567e-01     2.533e-01    -3.402e-03
   44      44.000s     2.511e-01     2.471e-01    -4.085e-03
   45      45.000s     2.445e-01     2.411e-01    -3.442e-03

============================================================

