nu(mhz) 200.1K

19.998 421257870.0
16.457 384912773.0
13.546 355000022.0
11.146 327670108.0
9.1723 302089700.5
7.5474 283223732.4
6.2111 252940836.4
5.1125 228487850.0
4.2053 203481851.1
3.4603 183177901.1
2.8495 158896668.5
2.3441 141546134.4
1.9298 124452802.0
1.5877 107865162.6
1.3062 93230025.0
1.0751 80878697.9
0.88446 68670358.86
0.7286 58633356.4
0.5989 49568557.4
0.49302 43004162.52
0.40551 35941567.83
0.33388 30394765.8
0.27502 25816677.44
0.22639 21657146.57
0.18591 18098152.59
0.15313 15155888.62
0.12579 12673342.5
0.10368 10643788.8
0.085089 8742894.75
0.070015 7341772.9
0.057931 6093761.89
0.047686 5045655.66
0.039068 4230673.72
0.032157 3494501.19
0.026435 2896218.6
0.021739 2434768.0
0.017928 2010087.36
0.014676 1615387.32
0.012097 1372404.65
0.0099244 1130587.648
0.0099244 1156986.552
0.0083999 990264.211
0.0071346 835747.044
0.005976 714191.76
0.0050308 593030.704
0.0099244 1157085.796
0.0083999 986652.254
0.0071346 835818.39
0.005976 706482.72
0.0050308 596149.8
