sqrtom 190.1K

8696.23012329 92.427
7990.99569997 104.25
7341.81109218 122.28
6746.46322503 139.05
6199.07974277 146.47
5695.67503107 169.11
5234.1735637 166.69
4808.61209175 180.7
4419.06550469 181.43
4059.49977505 196.98
3729.8258121 200.72
3428.22083843 207.77
3150.48374536 215.27
2894.80297157 217.3
2659.0352435 215.53
2443.27475502 218.05
2245.49687353 223.51
2063.70265904 218.81
1895.87947582 234.32
1742.06156704 233.12
1600.22253826 234.79
1470.36772011 226.25
1350.48887412 238.26
1240.61640842 241.56
