sqrtom 195.0K

723.195924331 226.415927025
815.097548997 221.3624845
914.970824851 215.870700637
1028.8480105 209.608876489
1156.7213628 202.577437831
1302.55461632 194.558428727
1464.37301037 185.660436371
1646.16979414 175.663881888
1849.93582085 164.459293196
2081.67894803 151.716313101
2339.39737246 137.545015801
2631.12401294 121.503691004
2958.67094655 103.492697082
3326.26833064 83.2794281694
3739.8356239 60.5383879068
4205.31251699 34.9429674282
4728.69959621 6.16320936872
4788.64418151 2.86700522009
5318.070487 -26.2448349216
5326.03949538 -26.683030938
5923.3912071 -59.5299207879
6586.66364019 -96.0016276946
7325.83287424 -136.646711545
7325.83287424 -136.646711545
8149.04813531 -181.913278079
9062.07658127 -232.118449013
10078.7031339 -288.020223021
11209.4219197 -350.195646107
