nu(Mhz) 210.0K

19.998 14.287
16.457 15.59
13.546 16.7
11.146 17.934
9.1723 18.083
9.1723 17.674
7.5474 19.921
6.2111 20.011
5.1125 21.149
4.2053 22.017
3.4603 22.685
2.8495 23.79
2.3441 24.303
1.9298 25.148
1.5877 25.452
1.3062 26.412
1.0751 26.496
0.88446 27.012
0.7286 27.307
0.5989 27.737
0.49302 28.083
0.40551 28.77
0.33388 28.786
0.27502 29.403
0.22639 29.406
0.18591 29.435
0.15313 29.329
0.12579 29.663
0.10368 29.942
0.085089 29.96
0.070015 30.324
0.057931 30.464
0.047686 30.39
0.039068 30.646
0.032157 30.58
0.026435 30.94
0.021739 30.471
0.017928 30.95
0.014676 31.012
0.012097 30.531
0.0099244 30.422
