nu(mhz) 245.0K

19.998 191228875.2
16.167 224009952.0
13.07 273163000.0
10.569 327036567.0
10.001 329252922.0
7.6926 355505816.4
5.9206 366970629.2
4.5555 385773406.5
3.5049 398472081.0
2.6956 381130884.0
2.0741 400301300.0
1.5958 363028542.0
1.229 390047730.0
0.94543 289462303.1
0.72724 281754593.2
0.56007 225949040.1
0.43024 190613529.6
0.33112 147924548.8
0.25452 144473187.6
0.19991 92550333.6
0.17641 102312507.7
0.19991 19684537.97
0.19991 88056356.8
0.17641 76212648.2
0.15501 68336158.5
0.13675 68420127.5
0.1202 55560046.0
0.10574 54830419.6
0.093177 47341370.16
0.08232 36254551.2
0.072139 35731889.48
0.06383 30178824.0
0.05603 25782204.5
0.049444 24048572.72
0.0436 23357392.0
0.038127 19010122.2
0.033602 20432368.14
0.029636 16734560.12
0.026175 13218113.25
0.022931 14003503.08
0.020352 14240294.4
0.017925 10670573.25
0.015657 10634547.54
0.013911 7943181.0
0.012097 7001622.63
0.010732 5070440.72
0.0094518 5911344.756
0.0082551 5064173.646
0.0072718 4393112.534
0.0064791 4142930.913
0.0057321 3586001.76
0.0050308 2492560.168
