sqrtom 245.0K

11209.4219197 9.5624
10078.7031339 13.856
9062.07658127 20.9
8149.04813531 30.943
7927.05091803 32.922
6952.26806834 46.214
6099.19887606 61.982
5350.05146394 84.683
4692.75358219 113.69
4115.45311163 141.39
3609.97986776 193.0
3166.49760985 227.49
2778.8549337 317.37
2437.27550453 306.17
2137.61167727 387.43
1875.90607307 403.43
1644.1647261 443.04
1442.38979437 446.74
1264.59334348 567.63
1120.74599029 462.96
1052.81371573 579.97
1120.74599029 98.467
1120.74599029 440.48
1052.81371573 432.02
986.892372281 440.85
926.944222031 500.33
869.044805475 462.23
815.097548997 518.54
765.145971281 508.08
719.188302524 440.41
673.247877735 495.32
633.289600544 472.8
593.335379664 460.15
557.374034494 486.38
523.399349821 535.72
489.447654205 498.6
459.486226879 608.07
431.518805805 564.67
405.539610168 504.99
379.578348011 610.68
357.596682551 699.7
335.598117741 595.29
313.649218642 679.22
295.644027182 571.0
275.694926796 578.79
259.67507527 472.46
243.695323891 625.42
227.746181152 613.46
213.7523495 604.13
201.765670826 639.43
189.778414208 625.6
177.790462746 495.46
