nu(Mhz) 245.0K

19.998 9.5624
16.167 13.856
13.07 20.9
10.569 30.943
10.001 32.922
7.6926 46.214
5.9206 61.982
4.5555 84.683
3.5049 113.69
2.6956 141.39
2.0741 193.0
1.5958 227.49
1.229 317.37
0.94543 306.17
0.72724 387.43
0.56007 403.43
0.43024 443.04
0.33112 446.74
0.25452 567.63
0.19991 462.96
0.17641 579.97
0.19991 98.467
0.19991 440.48
0.17641 432.02
0.15501 440.85
0.13675 500.33
0.1202 462.23
0.10574 518.54
0.093177 508.08
0.08232 440.41
0.072139 495.32
0.06383 472.8
0.05603 460.15
0.049444 486.38
0.0436 535.72
0.038127 498.6
0.033602 608.07
0.029636 564.67
0.026175 504.99
0.022931 610.68
0.020352 699.7
0.017925 595.29
0.015657 679.22
0.013911 571.0
0.012097 578.79
0.010732 472.46
0.0094518 625.42
0.0082551 613.46
0.0072718 604.13
0.0064791 639.43
0.0057321 625.6
0.0050308 495.46
