nu(mhz) 200.0K

19.998 233996598.0
16.167 199128939.0
13.07 169491760.0
10.569 144361971.0
8.5415 123211137.5
8.5415 121596794.0
6.9048 103447713.6
5.5842 88436975.4
4.5147 74041080.0
3.6496 61178244.8
2.9499 50578985.4
2.3857 41752135.7
1.9276 34635116.8
1.5577 28856392.5
1.2593 23672321.4
1.0181 19397859.3
0.82406 15877164.02
0.66606 12962859.72
0.53764 10563550.72
0.43548 8659955.28
0.35161 7068415.83
0.28429 5750333.83
0.2302 4658557.4
0.18591 3776203.92
0.15003 3076665.21
0.1213 2493078.9
0.098106 2037171.09
0.079151 1644995.233
0.064232 1330244.72
0.051955 1088509.205
0.041954 876628.83
0.033894 706012.02
0.027479 575630.092
0.022212 468917.532
0.017925 378916.575
0.014483 305736.13
0.011746 248228.218
0.0094544 201397.6288
0.0076834 162081.323
0.006225 132909.975
0.0050308 114802.856
