sqrtom 210.0K

11209.4219197 7.4504
9717.18625922 7.7177
8422.7932008 8.0188
7299.88512983 8.3799
6326.94030255 8.5366
5483.90461585 8.7769
4752.68883679 9.0881
4119.42069685 9.2933
3569.9878259 9.4896
3094.54402565 9.5316
2683.02914752 9.7293
2325.40271156 9.8203
2015.75621202 9.9769
1746.06047282 9.9996
1514.30225177 10.117
1312.52571309 10.179
1136.72206736 10.196
984.916737382 10.293
855.050549584 10.321
741.169756683 10.383
641.280563825 10.405
557.374034494 10.388
481.46189417 10.387
417.532345493 10.523
361.58927398 10.485
313.649218642 10.49
271.700467747 10.448
235.737694839 10.481
203.773616397 10.548
177.790462746 10.615
