nu(Mhz) 200.0K

19.998 11.701
16.167 12.317
13.07 12.968
10.569 13.659
8.5415 14.425
8.5415 14.236
6.9048 14.982
5.5842 15.837
4.5147 16.4
3.6496 16.763
2.9499 17.146
2.3857 17.501
1.9276 17.968
1.5577 18.525
1.2593 18.798
1.0181 19.053
0.82406 19.267
0.66606 19.462
0.53764 19.648
0.43548 19.886
0.35161 20.103
0.28429 20.227
0.2302 20.237
0.18591 20.312
0.15003 20.507
0.1213 20.553
0.098106 20.765
0.079151 20.783
0.064232 20.71
0.051955 20.951
0.041954 20.895
0.033894 20.83
0.027479 20.948
0.022212 21.111
0.017925 21.139
0.014483 21.11
0.011746 21.133
0.0094544 21.302
0.0076834 21.095
0.006225 21.351
0.0050308 22.82
