nu(mhz) 332.7K

19.998 12868713.0
14.708 9496955.6
10.819 6707347.24
7.9601 5105130.534
7.9601 5389863.311
5.8549 3909258.181
4.3039 2903540.057
3.1673 2074739.865
2.3294 1582780.712
1.7126 1171675.29
1.2593 895463.044
0.92693 619791.7445
0.68176 480743.064
0.50089 341391.5973
0.36882 254349.3366
0.27086 187397.1996
0.1992 138029.664
0.14696 104125.5688
0.10782 76134.9366
0.079151 56311.18744
0.058317 41258.69433
0.042937 31192.01302
0.031587 22423.6113
0.023172 16133.505
0.017084 12202.07616
0.012628 8825.0778
0.0092994 6454.155576
0.0067382 4691.000076
0.0050308 3566.535352
