sqrtom 210.0K

11209.4219197 5.6019
9717.18625922 7.9563
8422.7932008 11.978
8422.7932008 11.375
7519.63415689 14.914
6608.61504036 20.642
5807.53910107 29.676
5102.32790026 33.55
4484.97373932 47.574
3941.62812922 65.832
3462.14277731 87.837
3042.63787388 119.26
2675.05509221 140.72
2349.38072623 157.33
2966.72984586 130.66
2808.8780305 93.831
2659.0352435 131.71
2966.72984586 131.88
2966.72984586 93.572
2966.72984586 115.76
2808.8780305 113.95
2966.72984586 125.8
2507.25485339 165.8
2383.34086462 127.29
2267.46662008 181.19
2155.59829983 180.81
2051.71773406 283.78
1949.82813747 238.15
1764.03241332 230.32
831.089983587 328.83
