sqrtom 200.0K

1837.95858184 297.264619942
2045.72197664 254.469143692
2275.46076306 207.147136909
2529.21152956 154.879099456
2812.90157263 96.4441161791
3128.46891514 31.4429896609
3480.15344462 -40.9976197318
3871.66568641 -121.642012653
4305.20247348 -210.942696693
4788.64418151 -310.522885753
5326.03949538 -421.216535197
5923.3912071 -544.260110877
6586.66364019 -680.882154835
7325.83287424 -833.137557816
8149.04813531 -1002.704912
9062.07658127 -1190.77214691
10078.7031339 -1400.17870541
11209.4219197 -1633.08618648
