omegatau 181.0K

6476510.9507 0.095040495
5269168.57526 0.108551813
4284964.31587 0.0857183566
3485035.22055 0.0960408489
2834534.17566 0.1136761712
2305900.87109 0.0864095336
1874975.50501 0.1136420955
1525338.48018 0.1275582217
1240861.67155 0.1344818185
1009303.24922 0.1074351045
820396.916708 0.1505506092
809741.990701 0.1508230966
809741.990701 0.1724081865
707111.41163 0.261418482
618536.266864 0.1122028052
539871.174859 0.066268251
472152.481 0.180998285
412465.463887 0.090533856
360615.808761 0.100210546
314780.195457 0.2077488678
275379.639289 0.1343234707
240390.028172 0.1770462404
