nu(Mhz) 273.0K

19.998 18.033
17.375 19.741
15.096 22.46
13.116 23.331
11.398 25.408
9.9007 29.129
8.6022 30.419
7.4775 34.097
6.4964 36.241
5.6447 37.37
4.902 39.465
4.261 42.335
3.7016 45.216
3.2157 47.279
2.7933 48.929
2.4278 50.448
2.1087 51.643
1.8336 54.987
1.5917 55.113
1.3838 56.188
1.2027 60.01
1.044 61.895
0.90709 60.426
0.78829 62.58
0.68572 62.484
0.5952 63.841
0.5168 62.861
0.44927 63.758
0.39043 65.425
0.33943 62.113
0.29458 64.635
0.25613 65.416
0.22261 66.552
0.19355 64.094
0.16782 64.981
0.14574 65.895
0.12692 66.731
0.10993 64.959
0.095626 63.28
0.083237 65.595
0.072139 65.353
0.062629 66.101
0.054531 66.421
0.04734 65.577
0.041303 66.502
0.035678 65.379
0.031023 65.858
0.026956 65.734
0.023416 65.643
0.020352 64.83
0.017715 66.953
0.015456 64.54
0.013355 65.958
0.011576 65.895
0.010084 64.839
0.008842 65.486
0.0076834 65.868
0.0066087 65.005
0.0057321 65.708
0.0050308 68.796
