nu(mhz) 230.1K

19.998 809699022.0
16.167 846067611.0
13.07 835029230.0
10.569 861426345.0
8.5415 873368375.0
8.5415 883532760.0
6.9048 804685392.0
5.5842 864545844.0
4.5147 805467627.0
3.6496 799189408.0
2.9499 756973839.0
2.3857 699678096.0
1.9276 659740376.0
1.5577 576816310.0
1.2593 601063890.0
1.0181 550181240.0
0.82406 471972124.4
0.66606 446759745.0
1.5006 576050328.0
1.3614 591174336.0
1.2361 617988195.0
1.1219 582378290.0
1.0197 507280356.0
0.9254 547725752.0
0.84005 434221845.0
0.76301 439928675.7
0.69233 359215420.5
0.62887 402118344.1
0.51795 373799335.5
0.4698 291759894.0
0.79965 496166832.0
0.73406 463426759.2
0.67389 418822635.0
0.61754 429387912.8
0.56725 370839687.5
0.52025 371952737.5
