sqrtom 220.0K

11209.4219197 29.511
10168.6961111 36.664
9225.61803735 46.635
8368.5353219 58.066
7591.52557745 72.246
7591.52557745 70.33
6886.34248258 89.186
6247.03867936 111.24
5667.69661176 141.44
5140.29952165 173.21
4662.80024432 219.44
4231.3043536 273.98
3837.76167558 321.9
3482.13885504 380.29
3158.45109384 474.26
2864.8030732 582.2
2599.04838811 686.82
2357.37694839 799.55
2139.60950054 1003.9
1939.8452723 955.98
1760.03864166 1244.2
1596.21254033 1547.9
1448.38872902 1248.7
1314.53475541 1547.6
1192.66521778 4349.2
