sqrtom 215.0K

1376.45620981 1484.30862769
1570.23806419 1387.32704179
1790.00289033 1277.34181417
2039.72399677 1152.36443168
2325.4162214 1009.38466141
2650.98901659 846.445948175
3022.64449699 660.444333057
3446.13530627 448.500802911
3929.6545051 206.514994368
4479.01578109 -68.4226562447
5106.32849573 -382.372494898
5821.532866 -740.309280512
6636.60309833 -1148.2257183
6636.60309833 -1148.2257183
7565.57553613 -1613.14654671
8624.40419197 -2143.05623594
9833.20592138 -2748.02262521
11209.4219197 -3436.77447184
