nu(mhz) 235.0K

19.998 863973594.0
16.167 852178737.0
13.07 801021090.0
10.569 834306291.0
8.5415 835085372.0
8.5415 767385443.0
6.9048 755385120.0
5.5842 750293112.0
4.5147 667362954.0
3.6496 645541248.0
2.9499 578770380.0
2.3857 506865822.0
1.9276 482613212.0
1.5577 412463383.0
1.2593 358245664.0
1.0181 324702633.0
0.82406 297988336.6
0.66606 243025312.2
0.53764 218287216.4
0.43548 182675150.4
0.35161 153790697.9
0.28429 123677521.6
0.2302 99745660.0
0.79965 289649223.0
0.67127 244422832.4
0.56366 235215318.0
0.47308 190381584.4
0.39743 159699296.9
0.33388 163354128.8
0.28006 137024956.2
0.23481 124482173.4
0.19707 104271707.7
0.16586 88262399.0
0.13912 72243624.8
0.1169 67500398.0
0.098106 54299708.88
0.08232 47301895.2
0.069171 49032555.06
0.057933 37580557.77
0.048738 26342889.0
0.040978 24488043.02
0.034189 23449209.43
0.028818 18444960.9
0.024153 14482380.33
0.020352 12270627.84
0.017082 9119908.98
0.01429 9476556.4
0.011922 7896655.92
0.10011 57275934.3
0.054904 35412530.96
0.030185 19220298.75
0.016668 10854034.92
0.0091444 6008693.796
0.0050308 3381049.756
