nu(mhz) 250.0K

19.998 642015792.0
15.09 546997410.0
11.387 471353478.0
8.5928 392682367.2
8.5928 397502928.0
6.4842 344174851.8
4.895 295819535.0
3.6924 238536424.8
2.7879 184486494.6
2.104 148014296.0
1.5877 116715002.4
1.1974 91214339.8
0.90405 73021926.6
0.68176 58675674.4
0.51452 44783820.8
0.38844 33643176.84
0.29285 26346835.95
0.22111 20445378.37
0.16717 15558010.39
0.12579 12347546.4
0.095133 9551353.2
0.071712 6841324.8
0.054157 5221113.899
0.040978 4107634.72
0.030744 3074707.44
0.023172 2363544.0
0.017504 1764578.24
0.013172 1345388.08
0.0099244 1044046.88
