nu(mhz) 230.1K

19.998 40.489
16.167 52.333
13.07 63.889
10.569 81.505
8.5415 102.25
8.5415 103.44
6.9048 116.54
5.5842 154.82
4.5147 178.41
3.6496 218.98
2.9499 256.61
2.3857 293.28
1.9276 342.26
1.5577 370.3
1.2593 477.3
1.0181 540.4
0.82406 572.74
0.66606 670.75
1.5006 383.88
1.3614 434.24
1.2361 499.95
1.1219 519.1
1.0197 497.48
0.9254 591.88
0.84005 516.9
0.76301 576.57
0.69233 518.85
0.62887 639.43
0.57086 763.6
0.51795 721.69
0.4698 621.03
0.79965 620.48
0.73406 631.32
0.67389 621.5
0.61754 695.32
0.56725 653.75
0.52025 714.95
0.47748 838.88
0.43759 776.16
0.40247 832.25
0.36883 782.84
0.3385 902.56
0.31036 1022.3
0.28514 1096.6
0.26181 1059.1
0.24025 1070.3
0.22036 1288.9
0.20205 1067.9
0.18523 1049.9
0.16978 866.72
0.15627 896.26
0.14332 1231.7
0.1315 1302.7
0.12075 1245.7
0.11045 1426.4
0.10163 1253.0
0.093177 1335.8
0.085554 905.28
0.078257 1132.9
0.072139 630.43
0.06586 695.31
