nu(Mhz) 230.1K

19.998 40.489
16.167 52.333
13.07 63.889
10.569 81.505
8.5415 102.25
8.5415 103.44
6.9048 116.54
5.5842 154.82
4.5147 178.41
3.6496 218.98
2.9499 256.61
2.3857 293.28
1.9276 342.26
1.5577 370.3
1.2593 477.3
1.0181 540.4
0.82406 572.74
0.66606 670.75
1.5006 383.88
1.3614 434.24
1.2361 499.95
1.1219 519.1
1.0197 497.48
0.9254 591.88
0.84005 516.9
0.76301 576.57
0.69233 518.85
0.62887 639.43
0.51795 721.69
0.4698 621.03
0.79965 620.48
0.73406 631.32
0.67389 621.5
0.61754 695.32
0.56725 653.75
0.52025 714.95
