nu(mhz) 235.0K

19.998 43.203
16.167 52.711
13.07 61.287
10.569 78.939
8.5415 97.768
8.5415 89.842
6.9048 109.4
5.5842 134.36
4.5147 147.82
3.6496 176.88
2.9499 196.2
2.3857 212.46
1.9276 250.37
1.5577 264.79
1.2593 284.48
1.0181 318.93
0.82406 361.61
0.66606 364.87
0.53764 406.01
0.43548 419.48
0.35161 437.39
0.28429 435.04
0.2302 433.3
0.79965 362.22
0.67127 364.12
0.56366 417.3
0.47308 402.43
0.39743 401.83
0.33388 489.26
0.28006 489.27
0.23481 530.14
0.19707 529.11
0.16586 532.15
0.13912 519.29
0.1169 577.42
0.098106 553.48
0.08232 574.61
0.069171 708.86
0.057933 648.69
0.048738 540.5
0.040978 597.59
0.034189 685.87
0.028818 640.05
0.024153 599.61
0.020352 602.92
0.017082 533.89
0.01429 663.16
0.011922 662.36
0.10011 572.13
0.054904 644.99
0.030185 636.75
0.016668 651.19
0.0091444 657.09
0.0050308 672.07
