nu(mhz) 305.0K

19.998 77550244.2
14.763 60427911.6
10.898 45760702.0
8.0458 38464556.06
8.0458 38045369.88
5.9361 29665066.14
4.3836 22061782.08
3.2358 15800734.98
2.3882 12023631.72
1.763 9245172.0
1.3007 7020007.97
0.961 5247444.4
0.70834 3924982.774
0.5237 2936543.01
0.38646 2202551.478
0.28514 1603484.79
0.21074 1211502.112
0.15564 881638.344
0.11473 677239.717
0.084624 508734.1008
0.062626 369155.2196
0.045963 264448.1205
0.033894 192572.1504
0.025154 147256.5468
0.018573 108700.3398
0.013725 78692.2875
0.010084 60168.2028
0.007409 44209.503
0.0054932 32200.58908
0.0040628 23580.89748
0.0030236 17130.81052
