sqrtom 270.1K

11209.4219197 20.251
10168.6961111 21.856
9225.61803735 24.789
8368.5353219 27.855
7591.52557745 31.054
6886.34248258 37.397
6886.34248258 36.562
6247.03867936 39.337
5667.69661176 41.35
5140.29952165 43.707
4662.80024432 45.159
4231.3043536 47.896
3837.76167558 48.886
3482.13885504 50.346
3158.45109384 51.516
2864.8030732 53.544
2599.04838811 54.402
2357.37694839 55.923
2139.60950054 56.5
1939.8452723 58.949
1760.03864166 58.705
1596.21254033 60.443
1448.38872902 61.901
1314.53475541 62.973
1192.66521778 63.785
1080.78997981 64.303
980.889477 64.746
889.022991711 65.409
807.118735161 66.15
731.183940334 66.505
663.262556822 65.705
603.316838842 68.107
547.375533394 65.616
495.450788253 65.571
449.497930944 70.261
407.548774499 71.293
369.581067417 71.77
335.62620009 66.505
303.664333711 68.135
275.694926796 70.223
