sqrtom 205.0K

249.713524389 400.48007463
299.665287296 338.314252392
357.596682551 266.217641385
427.525274792 179.190313788
511.432029846 74.7669237884
613.315134971 -52.0283409553
733.179129388 -201.201129581
875.025120515 -377.730888619
1046.82871064 -591.543391362
1252.61208477 -847.644315751
1496.33321296 -1150.95942315
1790.00289033 -1516.43635324
2139.60950054 -1951.52775179
2559.09437999 -2473.5838501
3060.55103796 -3097.65522706
3657.96000937 -3841.14089721
4375.12560258 -4733.66572892
5230.15062435 -5797.75897445
6255.0295689 -7073.23832842
7477.65489212 -8594.81642863
7561.58810131 -8699.27274125
8180.98343062 -9470.12080938
8851.98305273 -10305.1913014
9577.48517616 -11208.0910874
10360.595436 -12182.6851832
11209.4219197 -13239.0642422
