T(K) D*R0

270.0 2326.94776266
245.0 3161.1476489
383.0 979.236076283
330.0 1490.95118305
325.0 1437.91276754
310.0 1685.82747056
305.0 1840.30986176
300.0 1865.40158637
280.0 1723.65370849
270.1 2395.92982787
260.0 17926573.5551
255.0 2460.74241257
250.0 2586.89366503
245.0 4282.07411723
240.0 172290532.587
230.0 1837.31642266
224.8 1564.89050533
219.8 1115.68787268
215.0 1253.90314757
209.5 813.497746955
207.5 610.270935703
205.0 614.738048459
202.5 551.780344213
199.2 382.928336191
180.2 450.617114689
