nu(Mhz) 207.5K

19.998 0.28303
12.926 0.42468
19.998 0.24801
15.028 0.31868
11.291 0.42466
8.4811 0.55214
6.371 0.73824
4.7863 0.96714
3.595 1.33
2.7008 1.7456
2.0284 2.3291
1.5006 3.1672
1.2149 3.9696
0.983 4.8857
0.79538 6.1446
0.64413 7.5266
0.5214 9.7379
0.42192 12.014
0.34222 15.099
0.27669 18.849
0.22412 24.498
0.18113 29.479
0.14696 36.958
0.11909 46.786
0.096119 56.426
0.077812 70.302
0.063027 87.653
0.05123 111.56
0.041303 155.62
0.0336 165.72
0.027217 192.61
0.021973 242.6
0.017715 293.81
0.014292 330.86
0.011576 374.16
0.0094518 452.96
0.0076834 492.68
0.006225 507.11
0.0050308 532.01
