nu(mhz) 270.0K

19.998 14413358.52
15.09 10994724.9
11.387 8280968.01
8.5928 6194377.664
8.5928 6352313.328
6.4842 4802522.73
4.895 3578049.2
3.6924 2697999.756
2.7879 2058362.328
2.104 1577831.68
1.5877 1193442.336
1.1974 887596.698
0.90405 672757.848
0.68176 510454.1648
0.51452 388596.3752
0.38844 289310.112
0.29285 215156.895
0.22111 165790.4891
0.16717 126337.0558
0.12579 94078.341
0.095133 71383.99788
0.071712 53730.216
0.054157 40887.45186
0.040978 30715.46968
0.030744 23190.81408
0.023172 17662.62528
0.017504 13202.91712
0.013172 9822.49212
0.0099244 7516.839804
