sqrtom 210.0K

11209.4219197 6.3261
9737.21039545 7.5957
8458.52416754 8.0081
7347.79931051 10.03
7347.79931051 8.6178
6382.90139112 8.3363
5545.82654603 8.6402
4816.64130159 8.7928
4185.31866384 9.8868
3635.90729892 9.8427
3158.45109384 10.968
2742.89738904 10.078
2383.34086462 10.551
2069.69186475 9.6492
1798.00570195 11.388
1562.25494101 10.687
1356.47735595 10.071
1178.67514747 11.019
1024.87076639 11.967
889.022991711 13.511
773.135348971 11.878
671.252400181 14.013
583.333923821 14.763
507.41735043 14.984
439.511375375 15.002
381.567778957 16.9
331.63364669 16.05
287.684057372 16.763
249.713524389 20.225
