sqrtom 180.0K

249.713524389 111.153257976
283.659075377 110.837069529
319.6417937 110.50190573
361.58927398 110.111182696
409.540411425 109.664538136
463.46872181 109.162218739
523.399349821 108.603990292
591.325245132 107.971289312
669.250972821 107.245444125
755.156870114 106.445267033
855.050549584 105.514799668
964.937941357 104.4912451
1090.77218967 103.31915231
1234.62575525 101.979217202
1394.43800759 100.490633678
1576.24870056 98.7971439861
1782.01702744 96.8804990692
2013.76032067 94.7219083292
2277.46181152 92.265640498
2575.1259723 89.4930247639
2910.71246746 86.3671785276
3290.37332271 82.8307982723
3719.87351962 78.8301856333
4203.29498908 74.3273191514
4752.68883679 69.209947875
5372.02663023 63.4410783331
6073.23494595 56.9096195106
6864.36388707 49.5405881024
7759.34060143 41.2042586182
7759.34060143 41.2042586182
8772.12462617 31.7706038748
9916.87533591 21.1077352877
11209.4219197 9.06821065757
